State,FoxNews,Repvote
Alabama,0.67,0.62
Alaska,0.54,0.53
Arizona,0.53,0.49
Arkansas,0.63,0.62
California,0.40,0.34
Colorado,0.49,0.42
Connecticut,0.41,0.39
Delaware,0.44,0.40
District of Columbia,0.32,0.05
Florida,0.49,0.51
Georgia,0.54,0.49
Hawaii,0.39,0.34
Idaho,0.62,0.64
Illinois,0.46,0.41
Indiana,0.58,0.57
Iowa,0.51,0.53
Kansas,0.57,0.56
Kentucky,0.59,0.62
Louisiana,0.62,0.59
Maine,0.45,0.44
Maryland,0.41,0.32
Massachusetts,0.40,0.32
Michigan,0.55,0.48
Minnesota,0.48,0.45
Mississippi,0.67,0.58
Missouri,0.61,0.57
Montana,0.61,0.57
Nebraska,0.55,0.46
Nevada,0.53,0.48
New Hampshire,0.47,0.45
New Jersey,0.41,0.41
New Mexico,0.47,0.44
New York,0.40,0.38
North Carolina,0.55,0.50
North Dakota,0.59,0.65
Ohio,0.60,0.53
Oklahoma,0.62,0.65
Oregon,0.45,0.40
Pennsylvania,0.51,0.49
Rhode Island,0.40,0.39
South Carolina,0.60,0.55
South Dakota,0.60,0.62
Tennessee,0.61,0.61
Texas,0.53,0.52
Utah,0.60,0.58
Vermont,0.37,0.31
Virginia,0.46,0.44
Washington,0.44,0.39
West Virginia,0.61,0.69
Wisconsin,0.57,0.49
Wyoming,0.66,0.70
